lesson_number,character,order_index
26,見,1
26,診,2
26,探,3
26,時,4
26,間,5
27,飼,1
27,道,2
27,走,3
27,山,4
27,見,5
28,売,1
28,踊,2
28,噛,3
28,選,4
28,大,5
29,外,1
29,車,2
29,止,3
29,間,4
29,違,5
30,貼,1
30,掛,2
30,飾,3
30,並,4
30,植,5
31,見,1
31,続,2
31,休,3
31,取,4
31,試,5
32,運,1
32,動,2
32,成,3
32,功,4
32,試,5
33,逃,1
33,騒,2
33,諦,3
33,投,4
33,守,5
34,組,1
34,立,2
34,折,3
34,忘,4
34,物,5
35,色,1
35,変,2
35,困,3
35,丸,4
35,付,5
36,貯,1
36,金,2
36,時,3
36,過,4
36,仕,5
37,褒,1
37,叱,2
37,誘,3
37,招,4
37,待,5
38,参,1
38,加,2
38,育,3
38,運,4
38,入,5
39,質,1
39,問,2
39,答,3
39,倒,4
39,道,5
40,数,1
40,測,2
40,量,3
40,確,4
40,合,5
41,頂,1
41,下,2
41,上,3
41,親,4
41,切,5
42,包,1
42,沸,2
42,混,3
42,計,4
42,算,5
43,輸,1
43,出,2
43,増,3
43,減,4
43,値,5
44,泣,1
44,笑,2
44,眠,3
44,乾,4
44,濡,5
45,贈,1
45,物,2
45,目,3
45,覚,4
45,時,5
46,渡,1
46,帰,2
46,出,3
46,荷,4
46,物,5
47,風,1
47,吹,2
47,燃,3
47,亡,4
47,集,5
48,降,1
48,下,2
48,届,3
48,世,4
48,話,5
49,利,1
49,用,2
49,奥,3
49,様,4
49,進,5
50,参,1
50,頂,2
50,申,3
50,致,4
50,拝,5
