Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,私,Tư,わたし,シ,Tôi (tôi),私【わたし】tôi,私的【してき】mang tính cá nhân,私物【しぶつ】đồ riêng,7 nét gồm 禾 và 厶,7,N5,,禾
,一,Nhất,"ひと, ひと.つ","イチ, イツ",Một,一つ【ひとつ】một cái,一人【ひとり】một người,一日【いちにち/ついたち】một ngày / ngày mùng 1,1 (一) bước sang ngang,1,N5,,一
,二,Nhị,"ふた, ふた.つ",ニ,Hai,二つ【ふたつ】hai cái,二人【ふたり】hai người,二月【にがつ】tháng hai,2 (二) bước sang ngang,2,N5,,二
,八,Bát,"やっ, やっ.つ, よう",ハチ,Tám,八つ【やっつ】tám cái,八日【ようか】ngày mùng 8,八百屋【やおや】hàng rau,Chân đi chữ bát (八),2,N5,,八
,六,Lục,"む, むっ.つ, むい",ロク,Sáu,六つ【むっつ】sáu cái,六日【むいか】ngày mùng 6,六月【ろくがつ】tháng sáu,Đầu (亠) năm phát (八) Lộc (六),4,N5,,亠
,日,Nhật,"ひ, -び, -か","ニチ, ジツ",Ngày (mặt trời),日曜日【にちようび】chủ nhật,毎日【まいにち】mỗi ngày,日本【にほん】nhật bản,"Mặt trời giống Hình Chữ Nhật (口), bị chia làm đôi (一), nửa trên là Ngày (日), nửa dưới là đêm",4,N5,,日
,目,Mục,"め, -め, ま-","モク, ボク",Mắt,目【め】mắt,三日目【みっかめ】ngày thứ 3,目上【めうえ】cấp trên,Chớp mắt (目) hết một (一) ngày (日),5,N5,,目
,三,Tam,"み, み.つ, みっ.つ",サン,Ba,三つ【みっつ】ba cái,三日【みっか】ngày mùng 3,三人【さんにん】ba người,3 (三) bước sang ngang,3,N5,,一
,手,Thủ,"て, て-",シュ,Tay,手【て】tay,右手【みぎて】tay phải,"下手【へた】kém, dở",3 (三) thể hiện quyết (亅) tâm bằng tay (手),4,N5,,手
,十,Thập,"とお, と","ジュウ, ジッ",Mười,十【とお】mười cái,十日【とおか】ngày mùng 10,十分【じゅうぶん】đầy đủ / 10 phút,Gạch ngang (一) gạch dọc (丨) ra số 10 (十),2,N5,,十
,千,Thiên,ち,セン,Một nghìn,千【せん】một nghìn,三千【さんぜん】ba nghìn,千円【せんえん】một nghìn yên,Phẩy sang trái (丿) 1 nét trên đầu số 10 (十) mà nó đã thành 1000 (千),3,N5,,十
