word,kanji,meaning,jlptLevel,lesson_number
みる,見る、診る,"nhìn, xem/ khám bệnh",N4,26
さがす,探す,tìm kiếm,N4,26
[じかんに～] おくれる,[時間に～] 遅れる,"chậm, trễ [giờ]",N4,26
[じかんに～] まにあう,[時間に～] 間に合う,kịp [giờ],N4,26
やる,,làm,N4,26
ひろう,拾う,nhặt,N4,26
こんど,今度,lần tới,N4,26
ずいぶん,,"khá, tương đối",N4,26
ちょくせつ,直接,trực tiếp,N4,26
いつでも,,lúc nào cũng,N4,26
どこでも,,ở đâu cũng,N4,26
だれでも,,ai cũng,N4,26
なんでも,,cái gì cũng,N4,26
こんな～,,như thế này ~,N4,26
そんな～,,như thế đó ~,N4,26
あんな～,,như thế kia ~,N4,26
くわしい,詳しい,"Tường tận, cụ thể",N4,26
やせる,痩せる,Gầy đi,N4,26
ねぼうする,寝坊する,Ngủ quên,N4,26
ごみをだす,ごみを出す,Vứt rác,N4,26
うちゅう,宇宙,Vũ trụ,N4,26
うちゅうせん,宇宙船,Tàu vũ trụ,N4,26
うちゅうステーション,,Trạm vũ trụ,N4,26
ちきゅう,地球,Trái đất,N4,26
うちゅうひこうし,宇宙飛行士,Phi hành gia,N4,26
こっかいぎじどう,国会議事堂,tòa nhà quốc hội,N4,26
ボランティア,,tình nguyện viên,N4,26
フリーマーケット,,chợ trời (chợ đồ cũ),N4,26
へいじつ,平日,ngày thường,N4,26
かう,飼う,nuôi (động vật),N4,27
[みちを～] はしる,[道を～] 走る,chạy [trên đường],N4,27
[やまが～] みえる,[山が～] 見える,nhìn thấy [núi],N4,27
[おとが～] きこえる,[音が～] 聞こえる,nghe thấy [âm thanh],N4,27
[みちが～] できる,[道が～] 出来る,"[con đường~] được làm, được hoàn thành",N4,27
[きょうしつを～] ひらく,[教室を～] 開く,"mở, tổ chức [lớp học]",N4,27
たてる,建てる,xây dựng,N4,27
しんぱい[な],心配[な],lo lắng,N4,27
ペット,,"thú cưng, động vật nuôi",N4,27
とり,鳥,chim,N4,27
こえ,声,"giọng nói, tiếng (người)",N4,27
なみ,波,sóng,N4,27
はなび,花火,pháo hoa,N4,27
どうぐ,道具,dụng cụ,N4,27
かぐ,家具,đồ gỗ trong nhà,N4,27
やちん,家賃,tiền nhà,N4,27
つうしんはんばい,通信販売,mua hàng qua mạng,N4,27
そら,空,bầu trời,N4,27
クリーニング,,giặt là,N4,27
じんじゃ,神社,đền thờ thần đạo,N4,27
マンション,,chung cư,N4,27
キッチン,,bếp,N4,27
かた,方,"vị, ngài",N4,27
ほかの,,khác,N4,27
はっきり,,rõ ràng,N4,27
ほとんど,,"hầu hết, hầu như",N4,27
いつか,,một lúc nào đó,N4,27
たとえば,例えば,ví dụ,N4,27
むかし,昔,ngày xưa,N4,27
ひるま,昼間,thời gian ban ngày,N4,27
まんが,漫画,truyện tranh,N4,27
だいすき,大好き,rất thích,N4,27
しゅじんこう,主人公,nhân vật chính,N4,27
じゆうに,自由に,"tự do, tùy thích",N4,27
どうが,動画,Video,N4,27
ふしぎ[な],不思議[な],Kỳ lạ,N4,27
[パンが～] うれる,[パンが～] 売れる,[bánh mì~] bán chạy,N4,28
おどる,踊る,nhảy múa,N4,28
かむ,噛む,"nhai, cắn",N4,28
えらぶ,選ぶ,"lựa, lựa chọn",N4,28
[だいがくに～] かよう,[大学に～] 通う,đi học [đại học],N4,28
メモする,,ghi lại,N4,28
まじめ[な],真面目[な],"nghiêm túc, ngoan",N4,28
ねっしん[な],熱心[な],nhiệt tình,N4,28
えらい,偉い,"siêu, giỏi",N4,28
ちょうどいい,,vừa vặn,N4,28
けしき,景色,phong cảnh,N4,28
びよういん,美容院,"tiệm làm đẹp, thẩm mỹ viện",N4,28
だいどころ,台所,nhà bếp,N4,28
けいけん,経験,kinh nghiệm,N4,28
ちから,力,sức mạnh,N4,28
にんき,人気,được yêu thích,N4,28
かたち,形,hình dạng,N4,28
いろ,色,màu sắc,N4,28
あじ,味,vị,N4,28
ガム,,kẹo cao su,N4,28
しなもの,品物,hàng hóa,N4,28
ねだん,値段,giá cả,N4,28
きゅうりょう,給料,lương,N4,28
ボーナス,,thưởng,N4,28
ゲーム,,"trò chơi, game",N4,28
ばんぐみ,番組,chương trình truyền hình,N4,28
かしゅ,歌手,ca sĩ,N4,28
ドラマ,,phim truyền hình,N4,28
しょうせつ,小説,tiểu thuyết,N4,28
しょうせつか,小説家,"tiểu thuyết gia, nhà văn",N4,28
むすこ,息子,con trai mình,N4,28
むすこさん,息子さん,con trai người khác,N4,28
むすめ,娘,con gái mình,N4,28
むすめさん,娘さん,con gái người khác,N4,28
じぶん,自分,mình,N4,28
しばらく,,một lúc,N4,28
たいてい,,thường thì,N4,28
それに,,hơn nữa,N4,28
それで,,vì thế,N4,28
じつは,実は,thực ra,N4,28
かいわ,会話,hội thoại,N4,28
たいいくかん,体育館,nhà thi đấu thể thao,N4,28
むりょう,無料,miễn phí,N4,28
イベント,,sự kiện,N4,28
おしらせ,お知らせ,thông báo,N4,28
かわ,革,Da (chất liệu da),N4,28
あんぜん,安全,An toàn,N4,28
まずい,,Dở,N4,28
めんどくさい,面倒くさい,Phiền phức,N4,28
