lesson_number,character,order_index
26,会,1
26,動,2
26,歩,3
26,急,4
26,切,5
26,送,6
26,習,7
26,歌,8
26,終,9
27,社,1
27,銀,2
27,医,3
27,病,4
27,院,5
27,国,6
27,世,7
27,界,8
28,教,1
28,研,2
28,究,3
28,売,4
28,働,5
28,勉,6
28,強,7
28,泳,8
29,屋,1
29,部,2
29,室,3
29,場,4
29,所,5
29,図,6
29,館,7
29,家,8
29,族,9
30,毎,1
30,朝,2
30,昼,3
30,晩,4
30,夜,5
30,午,6
30,前,7
30,後,8
30,週,9
31,試,1
31,験,2
31,映,3
31,画,4
31,宿,5
31,題,6
31,紙,7
31,英,8
31,語,9
32,待,1
32,開,2
32,閉,3
32,持,4
32,使,5
32,止,6
32,住,7
32,乗,8
32,降,9
33,私,1
33,夫,2
33,主,3
33,奥,4
33,妻,5
33,兄,6
33,弟,7
33,姉,8
33,妹,9
34,春,1
34,夏,2
34,秋,3
34,冬,4
34,雪,5
34,海,6
34,天,7
34,空,8
35,暑,1
35,寒,2
35,早,3
35,速,4
35,遅,5
35,重,6
35,軽,7
35,近,8
35,遠,9
36,質,1
36,問,2
36,答,3
36,作,4
36,思,5
36,始,6
36,着,7
36,集,8
36,練,9
37,晴,1
37,星,2
37,風,3
37,然,4
37,油,5
37,原,6
37,皿,7
37,発,8
38,建,1
38,物,2
38,品,3
38,洗,4
38,理,5
38,料,6
38,意,7
38,味,8
39,悲,1
39,泣,2
39,笑,3
39,怒,4
39,疲,5
39,弱,6
39,痛,7
39,悪,8
39,心,9
40,色,1
40,黄,2
40,黒,3
40,青,4
40,赤,5
40,白,6
40,短,7
40,低,8
40,広,9
41,借,1
41,貸,2
41,返,3
41,代,4
41,申,5
41,御,6
41,客,7
41,存,8
41,知,9
42,運,1
42,転,2
42,走,3
42,道,4
42,通,5
42,交,6
42,起,7
42,寝,8
43,飯,1
43,肉,2
43,服,3
43,薬,4
43,局,5
43,洋,6
43,和,7
43,堂,8
43,産,9
44,覚,1
44,育,2
44,若,3
44,老,4
44,頭,5
44,顔,6
44,首,7
44,死,8
44,亡,9
45,忘,1
45,忙,2
45,引,3
45,声,4
45,文,5
45,字,6
45,以,7
45,内,8
45,台,9
46,去,1
46,仕,2
46,事,3
46,者,4
46,商,5
46,業,6
46,考,7
46,決,8
47,信,1
47,記,2
47,注,3
47,便,4
47,利,5
47,不,6
47,有,7
48,特,1
48,別,2
48,産,3
48,公,4
48,園,5
49,市,1
49,村,2
49,区,3
49,県,4
50,京,1
50,都,2
50,府,3
